height,event,inputs,custody,withdrawal_paid,reward_paid,withdrawal_claims,reward_claims,alice_cash,bob_cash,alice_quantity,bob_quantity,alice_pnl,bob_pnl,U,T,F,S,I,Z,W,R
0,authenticated_initial_funding_assumed,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
1,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
2,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
3,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
4,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
5,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
6,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
7,oracle,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
7,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
8,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,100000000000000000000,100000000000000000000,0,0,0,0,0,200000000000000000000,0,20000000000000000000,5000000000000000000,0,0,0
9,open_fill,225000000000000000000,225000000000000000000,0,0,0,0,99970000000000000000,99990000000000000000,100000000,-100000000,0,0,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
9,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99970000000000000000,99990000000000000000,100000000,-100000000,0,0,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
10,funding,225000000000000000000,225000000000000000000,0,0,0,0,99960000000000000000,100000000000000000000,100000000,-100000000,0,0,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
10,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99960000000000000000,100000000000000000000,100000000,-100000000,0,0,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
11,oracle,225000000000000000000,225000000000000000000,0,0,0,0,99960000000000000000,100000000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
11,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99960000000000000000,100000000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
12,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,99960000000000000000,100000000000000000000,100000000,-100000000,10000000000000000000,-10000000000000000000,0,199960000000000000000,40000000000000000,20000000000000000000,5000000000000000000,0,0,0
13,close_fill,225000000000000000000,225000000000000000000,0,0,0,0,109949000000000000000,89967000000000000000,0,0,0,0,0,199916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,0,0
13,height_boundary,225000000000000000000,225000000000000000000,0,0,0,0,109949000000000000000,89967000000000000000,0,0,0,0,0,199916000000000000000,84000000000000000,20000000000000000000,5000000000000000000,0,0,0
