line,height,block,tx,payer,nonce,op,status,gas,gasAtoms,commonAtoms,calldata
11,1,0xab903477e27e67db9cfe7f7919c093e380c2f54225a3a2f5903178a25c62cea2,0x2bfb7c7f8e035a865f091cc4a4b469b7dff39534b126d3c1345eaab43dcef8ea,0xfa1a89887B3d554B5A15733FFFE4F642De3910b8,0,funding-1,1,271600,434560000000000,86912000000000,12
14,3,0xb8a22d435a372f86c39f221a4dad11f9d352c43b6eb712590c349073c724b208,0x0b4363645a368dfb52206b5c72c6fb867ce450b66160d3b54f2bd0c71ea93984,0xE7CA5fF5C20FF72e1A1e45a11083a0E640663e90,0,funding-1,1,271600,434560000000000,86912000000000,12
17,5,0xd2e54522183869ece60284867b18442fa9b2d18dad7f082151d4585e11a71156,0x328267c7707ecfed468884fee5680aacdf8e9fc01b6a2a006bceb078cbbb13a8,0x34982A282B5cF900B54df3A4e07672e43a08097d,0,funding-2,1,271600,434560000000000,86912000000000,12
20,7,0x2a3f7f36314b216310fc230a251ff4a5de2712df603acff552f49ad664480392,0x5edf8181a98d1c53e36314ed1701b7ff24b6a34ae8fa95796fac539f3073a5bd,0x34982A282B5cF900B54df3A4e07672e43a08097d,1,funding-3,1,271600,434560000000000,86912000000000,12
131,9,0x6ad55b597f43416453597a54e352ad65a59e964fb77c358a59acc441e061278d,0xf34f8a3f74a2f3e9bc6751cdebdab81472649932f6cbb5b4d02338eb837e83f0,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,0,anchor,1,12793972,20470355200000000,4094071040000000,14456
133,11,0xe0bbdf22dc486657a2b7d0fc1d3f38a2f4a8bc5438765f4a2f75aea87888bb85,0xf08167058ec3feced99648505639a23b39cc35a027364e2af7100057b7c22281,0x6AA32A6a6b85eb0e65859804f2665139868524A1,0,anchor,1,12793972,20470355200000000,4094071040000000,14456
135,13,0x9800cab0d31fdd4a63a1788c88db86a0b2dfccd6538aa350fc5e2ec4a86501c0,0x0399850059de5cd464f7f1ed75f0cf7c722d69f6ae4d2ae5f543e27acec43dc3,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,1,checkpoint,1,12125436,19400697600000000,3880139520000000,2052
137,15,0xc6a44bdd3a78b803ff310775f8a1e7ae79b1856fe49d59d018b3be7af37d4376,0x19f99ee74d43fab0576f80fba1ecda9df36c54765dc2574d5d19eb3c7913e917,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,2,checkpoint,1,12126132,19401811200000000,3880362240000000,2052
138,16,0xb7feab6d42c2fde7fa61deba49b84948f7fa97855f05687e13c059bb31aaf623,0xbef29435ab47a161b4bbaaf637a7ddc874208b063271c7618c3117f6490a5773,0x6AA32A6a6b85eb0e65859804f2665139868524A1,1,checkpoint-replay,1,12126132,19401811200000000,3880362240000000,2052
140,18,0xaecb84d4c8d3f25da0023f795a50785187305e63d049141711bc90b9bf3b6436,0xa75cc0dd031885cbb8f8d5aa5461abe4aee4d052e4623d28e9529119f1a9c3ab,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,3,checkpoint,1,12126168,19401868800000000,3880373760000000,2052
141,19,0xb5b5037904f68ca9728988909376e2efa4a97d8e4eec57c041b5dfcfb43cadd4,0x2e2b03c367533027e4d6d77a70b4904611760bdf30bcd6725b99a8edc0b962fd,0x6AA32A6a6b85eb0e65859804f2665139868524A1,2,checkpoint-replay,1,12126168,19401868800000000,3880373760000000,2052
143,21,0xbcd5626865d869ca4417c5bc5d3400da3fb1ca0a6756f73d1eeb2f60ed0332cc,0x30166dc116fd41e1077fc47c131afc70fd038f55791ff454589b79c2e2a5bdd9,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,4,checkpoint,1,12153864,19446182400000000,3889236480000000,2574
144,22,0xc695955f5137cc762eb17e0be252cc0d6f8a2dcba5ea6b015bfc852cfcabb49f,0x46adb55884b9e89cdd2b8354f730b3eb78fa5fcafe5e7476636ddaa62ab8ebcb,0x6AA32A6a6b85eb0e65859804f2665139868524A1,3,checkpoint-replay,1,12153864,19446182400000000,3889236480000000,2574
146,24,0x691e17720ae3f34f36fbd112968fd8c87d6bbfdae2c144e75ae9f92822e2928d,0x0c630eb5bf425abe0ded88b5ae54238b744cff1a29caf25adab8a2781b1119b5,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,5,checkpoint,1,12126180,19401888000000000,3880377600000000,2052
147,26,0xa92fe5581f6bc8ed67472054b71552a0cb13aa1023455630ab1a5ba57b2d22f7,0xa4b44631ddf867a214bab1860ff94bd917d1f7a99226b27d617e82c98a5b8d29,0x6AA32A6a6b85eb0e65859804f2665139868524A1,4,checkpoint-replay,1,12126180,19401888000000000,3880377600000000,2052
149,28,0x71b872b53fbc17df98a79224cc41edb620f2c63f44d086aaad563eef4bf9d139,0xdcbd8f12189053d16f6b8bb354328d96645f30b16fe37f1d53b8cff1ffc0765a,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,6,checkpoint,1,12126192,19401907200000000,3880381440000000,2052
150,30,0x3e06182f6718b3fb8ddb83e262980dd159af4257c960bd853377443e2324406d,0x18dcd0cbfc2c688ed0bf17ebc8a862cb81eb8fc7b2eed5c1b6999194396406ec,0x6AA32A6a6b85eb0e65859804f2665139868524A1,5,checkpoint-replay,1,12126192,19401907200000000,3880381440000000,2052
152,32,0x1ad279df9c4ee9f3450f29c8b2b123f6b0f5d2bbd16036fb1cbe7d7a206ce0ab,0xeb6a90a2f25aaba249e36c56ee35c3bfe55786d0720250efc755e2f30d9c440c,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,7,checkpoint,1,12126192,19401907200000000,3880381440000000,2052
153,34,0x426f9decebf600b75cfd33e7e3a7e404577a4a360a19318a09fa9ad43cca20ef,0x413673c5c9a628bb583f377ad8d7f74f2f1da2b60618ef8c1cb4e831f704641e,0x6AA32A6a6b85eb0e65859804f2665139868524A1,6,checkpoint-replay,1,12126192,19401907200000000,3880381440000000,2052
155,36,0x3ba079eed731541a3486348801d082b8447e92dec141ef2f0b630b7d1ce12406,0xe581da10ca2284ddae1f624e294140a4eb2023f53c3cdfccb6f434a192c784b5,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,8,checkpoint,1,12126180,19401888000000000,3880377600000000,2052
156,37,0x15522161eb2767438ccf6552ef6edd8c1575c85b76594e5ca1b36f0db8460065,0x30f4bad17cee33af59891d5d722917be8788d44b75443064df0362cabcce23ff,0x6AA32A6a6b85eb0e65859804f2665139868524A1,7,checkpoint-replay,1,12126180,19401888000000000,3880377600000000,2052
158,39,0x69326d5223a7014274ccd51fca03b2050225c3864470e5c4d3acd73087f4d2c1,0x124d52b9edc3253b54ab1f31138798cc9c6e167e0d0ce4ed93381e069008a4a3,0x12a025b972e8bC244FF4Ae8fC89E028150F27Ea3,9,checkpoint,1,12126180,19401888000000000,3880377600000000,2052
159,41,0xb746c9a23ec1711cd1bc6cfafcf3d8bd27011d6aa37dc35a0f825960f6cbe36d,0xa9eacdb003c50904f3439c46dd6ff01c94f56ec9edfdf38a37d7695155ac5ca0,0x6AA32A6a6b85eb0e65859804f2665139868524A1,8,checkpoint-replay,1,12126180,19401888000000000,3880377600000000,2052
